page	off_model_px_pct	max_residual
pg_001.png	0.0718%	3.1781
pg_002.png	0.0723%	3.1781
pg_003.png	0.1009%	3.1781
pg_004.png	0.0951%	3.1781
pg_005.png	0.0723%	3.1781
pg_006.png	0.0725%	3.1781
pg_007.png	0.0720%	3.1781
pg_008.png	0.0726%	3.1781
pg_009.png	0.0725%	3.1781
pg_010.png	0.1053%	3.1781
pg_011.png	0.0953%	3.1781
pg_012.png	0.0717%	3.1781
pg_013.png	0.0718%	3.1781
pg_014.png	0.0974%	3.1781
pg_015.png	0.0718%	3.1781
pg_016.png	0.0720%	3.1781
pg_017.png	0.0715%	3.1781
pg_018.png	0.0721%	3.1781
pg_019.png	0.0720%	3.1781
pg_020.png	0.0723%	3.1781
pg_021.png	0.0717%	3.1781
pg_022.png	0.0722%	3.1781
pg_023.png	0.0722%	3.1781
pg_024.png	0.0723%	3.1781
pg_025.png	0.0722%	3.1781
pg_026.png	0.0724%	3.1781
pg_027.png	0.0719%	3.1781
